UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Failure Type,Machine failure
1,M14860,M,298.1,308.6,1351,42.8,0,0,0,0,0,0,No Failure,0
2,L47181,L,298.2,308.7,1208,46.3,3,0,0,0,0,0,No Failure,0
3,L47182,L,298.1,308.5,1298,49.4,5,0,0,0,0,0,No Failure,0
4,L47183,L,298.2,308.6,1233,39.5,7,0,0,0,0,0,No Failure,0
5,L47184,L,298.2,308.7,1208,40.0,9,0,0,0,0,0,No Failure,0
6,M14865,M,298.1,308.6,1225,41.9,11,0,0,0,0,0,No Failure,0
7,L47186,L,298.1,308.6,1358,42.4,14,0,0,0,0,0,No Failure,0
8,L47187,L,298.1,308.6,1327,40.2,16,0,0,0,0,0,No Failure,0
9,M14868,M,298.3,308.7,1467,28.6,18,0,0,0,0,0,No Failure,0
10,M14869,M,298.5,309.0,1541,28.0,21,0,0,0,0,0,No Failure,0
11,H29424,H,298.4,308.9,1582,23.9,24,0,0,0,0,0,No Failure,0
12,H29425,H,298.6,309.1,1223,44.3,29,0,0,0,0,0,No Failure,0
13,M14872,M,298.6,309.1,1139,51.1,34,0,0,0,0,0,No Failure,0
14,M14873,M,298.6,309.2,1542,30.0,37,0,0,0,0,0,No Failure,0
15,L47194,L,298.6,309.2,1835,19.6,40,0,0,0,0,0,No Failure,0
16,L47195,L,298.6,309.2,1342,48.4,42,0,0,0,0,0,No Failure,0
17,M14876,M,298.6,309.2,1111,46.6,44,0,0,0,0,0,No Failure,0
18,M14877,M,298.7,309.2,1210,45.6,47,0,0,0,0,0,No Failure,0
19,H29432,H,298.8,309.2,1106,54.5,50,0,0,0,0,0,No Failure,0
20,M14879,M,298.9,309.3,1432,32.5,55,0,0,0,0,0,No Failure,0
21,H29434,H,298.9,309.3,1175,42.7,58,0,0,0,0,0,No Failure,0
22,L47201,L,298.8,309.3,1250,44.8,63,0,0,0,0,0,No Failure,0
23,M14882,M,298.9,309.3,1381,30.7,65,0,0,0,0,0,No Failure,0
24,L47203,L,299.0,309.4,1558,25.7,68,0,0,0,0,0,No Failure,0
25,M14884,M,299.0,309.4,1361,37.3,70,0,0,0,0,0,No Failure,0
26,L47205,L,299.0,309.5,1661,23.3,73,0,0,0,0,0,No Failure,0
27,L47206,L,299.1,309.5,1312,39.0,75,0,0,0,0,0,No Failure,0
28,H29441,H,299.1,309.4,1611,24.6,77,0,0,0,0,0,No Failure,0
29,L47208,L,299.1,309.4,1239,44.2,82,0,0,0,0,0,No Failure,0
30,L47209,L,299.0,309.4,1493,30.1,84,0,0,0,0,0,No Failure,0
31,M14890,M,299.1,309.5,1139,48.2,86,0,0,0,0,0,No Failure,0
32,L47211,L,299.0,309.4,1598,25.5,89,0,0,0,0,0,No Failure,0
33,L47212,L,299.0,309.4,1219,48.3,91,0,0,0,0,0,No Failure,0
34,L47213,L,298.9,309.3,1465,32.5,93,0,0,0,0,0,No Failure,0
35,M14894,M,298.8,309.1,1359,34.7,95,0,0,0,0,0,No Failure,0
36,M14895,M,298.8,309.2,1252,48.6,98,0,0,0,0,0,No Failure,0
37,M14896,M,298.9,309.2,1381,36.7,101,0,0,0,0,0,No Failure,0
38,L47217,L,298.8,309.1,1239,39.2,104,0,0,0,0,0,No Failure,0
39,H29452,H,298.9,309.2,1179,50.7,106,0,0,0,0,0,No Failure,0
40,L47219,L,298.8,309.1,1150,52.5,111,0,0,0,0,0,No Failure,0
41,L47220,L,298.8,309.1,1162,45.4,113,0,0,0,0,0,No Failure,0
42,L47221,L,298.8,309.1,1168,50.8,115,0,0,0,0,0,No Failure,0
43,M14902,M,298.8,309.1,1168,49.1,117,0,0,0,0,0,No Failure,0
44,H29457,H,298.8,309.2,1172,48.5,120,0,0,0,0,0,No Failure,0
45,M14904,M,298.8,309.1,1272,47.5,125,0,0,0,0,0,No Failure,0
46,L47225,L,298.8,309.1,1289,49.1,128,0,0,0,0,0,No Failure,0
47,M14906,M,298.7,309.0,1643,25.8,130,0,0,0,0,0,No Failure,0
48,L47227,L,298.8,309.1,1218,46.3,133,0,0,0,0,0,No Failure,0
49,H29462,H,298.8,309.2,1225,53.9,135,0,0,0,0,0,No Failure,0
50,M14909,M,298.9,309.2,1212,44.1,140,0,0,0,0,0,No Failure,0
51,L47230,L,298.9,309.1,2661,4.6,143,0,0,1,0,0,PWF,1
52,L47231,L,298.9,309.1,1183,54.9,145,0,0,0,0,0,No Failure,0
53,H29466,H,298.8,309.0,1297,43.8,147,0,0,0,0,0,No Failure,0
54,L47233,L,298.7,309.0,1365,35.1,152,0,0,0,0,0,No Failure,0
55,L47234,L,298.7,309.0,1491,30.1,154,0,0,0,0,0,No Failure,0
56,L47235,L,298.8,309.1,1312,40.7,156,0,0,0,0,0,No Failure,0
57,L47236,L,298.8,309.1,1277,42.4,158,0,0,0,0,0,No Failure,0
58,L47237,L,298.8,309.1,1313,40.3,160,0,0,0,0,1,RNF,1
59,M14918,M,298.8,309.0,1461,29.5,162,0,0,0,0,0,No Failure,0
