UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Failure Type,Machine failure
1,M14860,M,298.1,308.6,1551,57.8,0,0,0,1,0,0,PWF,1
2,L47181,L,298.2,308.7,1408,61.3,3,0,0,1,0,0,PWF,1
3,L47182,L,298.1,308.5,1498,64.4,5,0,0,1,0,0,PWF,1
4,L47183,L,298.2,308.6,1433,54.5,7,0,0,0,0,0,No Failure,0
5,L47184,L,298.2,308.7,1408,55.0,9,0,0,0,0,0,No Failure,0
6,M14865,M,298.1,308.6,1425,56.9,11,0,0,0,0,0,No Failure,0
7,L47186,L,298.1,308.6,1558,57.4,14,0,0,1,0,0,PWF,1
8,L47187,L,298.1,308.6,1527,55.2,16,0,0,0,0,0,No Failure,0
9,M14868,M,298.3,308.7,1667,43.6,18,0,0,0,0,0,No Failure,0
10,M14869,M,298.5,309.0,1741,43.0,21,0,0,0,0,0,No Failure,0
11,H29424,H,298.4,308.9,1782,38.9,24,0,0,0,0,0,No Failure,0
12,H29425,H,298.6,309.1,1423,59.3,29,0,0,0,0,0,No Failure,0
13,M14872,M,298.6,309.1,1339,66.1,34,0,0,1,0,0,PWF,1
14,M14873,M,298.6,309.2,1742,45.0,37,0,0,0,0,0,No Failure,0
15,L47194,L,298.6,309.2,2035,34.6,40,0,0,0,0,0,No Failure,0
16,L47195,L,298.6,309.2,1542,63.4,42,0,0,1,0,0,PWF,1
17,M14876,M,298.6,309.2,1311,61.6,44,0,0,0,0,0,No Failure,0
18,M14877,M,298.7,309.2,1410,60.6,47,0,0,0,0,0,No Failure,0
19,H29432,H,298.8,309.2,1306,69.5,50,0,0,1,0,0,PWF,1
20,M14879,M,298.9,309.3,1632,47.5,55,0,0,0,0,0,No Failure,0
21,H29434,H,298.9,309.3,1375,57.7,58,0,0,0,0,0,No Failure,0
22,L47201,L,298.8,309.3,1450,59.8,63,0,0,1,0,0,PWF,1
23,M14882,M,298.9,309.3,1581,45.7,65,0,0,0,0,0,No Failure,0
24,L47203,L,299.0,309.4,1758,40.7,68,0,0,0,0,0,No Failure,0
25,M14884,M,299.0,309.4,1561,52.3,70,0,0,0,0,0,No Failure,0
26,L47205,L,299.0,309.5,1861,38.3,73,0,0,0,0,0,No Failure,0
27,L47206,L,299.1,309.5,1512,54.0,75,0,0,0,0,0,No Failure,0
28,H29441,H,299.1,309.4,1811,39.6,77,0,0,0,0,0,No Failure,0
29,L47208,L,299.1,309.4,1439,59.2,82,0,0,0,0,0,No Failure,0
30,L47209,L,299.0,309.4,1693,45.1,84,0,0,0,0,0,No Failure,0
31,M14890,M,299.1,309.5,1339,63.2,86,0,0,0,0,0,No Failure,0
